team,confederation,fifa_rank,rank_change,elo,form_score,r32_prob,r16_prob,qf_prob,sf_prob,final_prob,winner_prob,r32_count,r16_count,qf_count,sf_count,final_count,winner_count
Bosnia and Herzegovina,UEFA,65,-8,1632.9608168950872,-16.0,0.307,0.03,0.004,0.0,0.0,0.0,307,30,4,0,0,0
Cape Verde,CAF,69,3,1657.0037011899965,11.0,0.237,0.032,0.007,0.002,0.0,0.0,237,32,7,2,0,0
Tunisia,CAF,44,-15,1734.5510153524017,27.0,0.439,0.076,0.022,0.003,0.001,0.0,439,76,22,3,1,0
Curaçao,CONCACAF,82,4,1621.1621160682707,21.0,0.282,0.059,0.005,0.0,0.0,0.0,282,59,5,0,0,0
Sweden,UEFA,38,-15,1754.8837065122243,7.0,0.427,0.088,0.021,0.002,0.0,0.0,427,88,21,2,0,0
Czech Republic,UEFA,41,-2,1773.8404081524145,8.0,0.494,0.15,0.034,0.007,0.0,0.0,494,150,34,7,0,0
South Africa,CAF,60,7,1666.8081432879508,21.0,0.285,0.056,0.007,0.0,0.0,0.0,285,56,7,0,0,0
New Zealand,OFC,85,20,1766.959829703607,52.0,0.716,0.328,0.094,0.019,0.004,0.0,716,328,94,19,4,0
Egypt,CAF,29,11,1801.4242652061284,18.0,0.508,0.184,0.034,0.008,0.0,0.0,508,184,34,8,0,0
Scotland,UEFA,43,-1,1830.6372210421189,11.0,0.505,0.125,0.037,0.011,0.001,0.0,505,125,37,11,1,0
Saudi Arabia,AFC,61,-13,1687.3166217128537,4.0,0.417,0.085,0.021,0.003,0.002,0.0,417,85,21,3,2,0
Qatar,AFC,55,5,1591.4387247414088,6.0,0.405,0.054,0.006,0.0,0.0,0.0,405,54,6,0,0,0
Ghana,CAF,74,-16,1615.8299206365696,13.0,0.158,0.012,0.001,0.0,0.0,0.0,158,12,1,0,0,0
Iraq,AFC,57,11,1710.777392688835,12.0,0.306,0.096,0.019,0.003,0.001,0.0,306,96,19,3,1,0
Algeria,CAF,28,10,1850.760962525782,41.0,0.543,0.143,0.055,0.018,0.004,0.0,543,143,55,18,4,0
